,hexagon_id,connections_points,normalized_score
519,871eb2aacffffff,,
520,871eb2a48ffffff,,
521,871eb0419ffffff,,
522,871eb3c9cffffff,,
523,871eb22a5ffffff,,
524,871eb0292ffffff,,
525,871eb2b6bffffff,,
526,871eb06c3ffffff,,
527,871eb03b5ffffff,,
528,871eb2241ffffff,,
529,871eb2364ffffff,,
530,871eb04d8ffffff,,
531,871eb0043ffffff,,
532,871eb0782ffffff,,
533,871eb0474ffffff,,
534,871eb0a90ffffff,,
535,871eb2300ffffff,,
536,871eb2aa3ffffff,,
537,871eb071effffff,,
538,871eb3c93ffffff,,
539,871eb0410ffffff,,
540,871eb2b62ffffff,,
541,871eb3db6ffffff,,
542,871eb009effffff,,
543,871eb235bffffff,,
544,871eb3c90ffffff,,
545,871eb040dffffff,,
546,871eb071bffffff,,
547,871eb0656ffffff,,
548,871eb204dffffff,,
549,871eb046bffffff,,
550,871eb2a9affffff,,
551,871eb0715ffffff,,
552,871eb2a36ffffff,,
553,871eb058effffff,,
554,871eb06b1ffffff,,
555,871eb2b59ffffff,,
556,871eb0095ffffff,,
557,871eb3dadffffff,,
558,871eb3c26ffffff,,
559,871eb04c6ffffff,,
560,871eb2af5ffffff,,
561,871eb2352ffffff,,
562,871eb2044ffffff,,
563,871eb0770ffffff,,
564,871eb0462ffffff,,
565,871eb22eeffffff,,
566,871eb2a91ffffff,1.0,0.0
567,871e94974ffffff,,
568,871eb070cffffff,,
569,871eb2a2dffffff,,
570,871eb00f0ffffff,,
571,871eb3c81ffffff,,
572,871eb06a8ffffff,,
573,871eb3da4ffffff,,
574,871eb2b50ffffff,,
575,871eb008cffffff,,
576,871eb0471ffffff,,
577,871eb2226ffffff,,
578,871eb039affffff,,
579,871eb23adffffff,1.0,0.0
580,871eb2aecffffff,,
581,871eb2349ffffff,,
582,871eb0644ffffff,,
583,871eb0336ffffff,,
584,871eb0459ffffff,,
585,871eb22e5ffffff,,
586,871eb2a88ffffff,,
587,871eb014bffffff,,
588,871eb0703ffffff,,
589,871eb2a24ffffff,,
590,871eb2babffffff,,
591,871eb0b98ffffff,,
592,871eb0083ffffff,,
593,871eb221dffffff,,
594,871eb3d9bffffff,,
595,871eb0391ffffff,,
596,871eb3c14ffffff,,
597,871eb2340ffffff,,
598,871eb2ae3ffffff,,
599,871eb0450ffffff,,
600,871eb075effffff,,
601,871eb22dcffffff,,
602,871eb00deffffff,,
603,871eb2a1bffffff,,
604,871eb0573ffffff,,
605,871eb0696ffffff,,
606,871eb3d92ffffff,,
607,871eb2214ffffff,,
608,871eb0040ffffff,,
609,871eb065cffffff,,
610,871eb2b04ffffff,,
611,871eb04d5ffffff,,
612,871eb2361ffffff,,
