hexagon_id,latency_ms,normalized_score
871eb2348ffffff,,
871eb0643ffffff,63.0,0.37
871eb0458ffffff,,
871eb0766ffffff,,
871eb22e4ffffff,,
871eb0702ffffff,,
871eb2a23ffffff,,
871eb00e6ffffff,,
871eb2baaffffff,,
871eb3daaffffff,,
871eb222cffffff,,
871eb2b56ffffff,,
871eb0092ffffff,,
871eb06aeffffff,,
871eb069effffff,,
871eb2b46ffffff,,
871eb3d9affffff,,
871eb0082ffffff,,
871eb221cffffff,,
871eb0390ffffff,,
871eb23a3ffffff,,
871eb3d36ffffff,,
871eb2ae2ffffff,,
871eb001effffff,,
871eb04b3ffffff,,
871eb075dffffff,,
871eb22dbffffff,29.0,0.71
871eb00ddffffff,,
871eb2a1affffff,,
871eb0b8effffff,24.0,0.76
871eb0572ffffff,,
871eb0695ffffff,,
871eb3d91ffffff,,
871eb2213ffffff,,
871eb050effffff,,
871eb0631ffffff,,
871eb2ad9ffffff,,
871eb3d2dffffff,,
871eb0015ffffff,,
871eb04aaffffff,100.0,0.0
871eb2336ffffff,,
871eb058bffffff,,
871eb0404ffffff,,
871eb2a33ffffff,31.0,0.69
871eb00f6ffffff,,
871eb0712ffffff,,
871eb2a75ffffff,,
871eb0754ffffff,,
871eb0446ffffff,,
871eb06f0ffffff,33.0,0.67
871eb00d4ffffff,,
871eb2a11ffffff,,
871eb226effffff,,
871eb0569ffffff,,
871eb2b98ffffff,35.5,0.645
871eb068cffffff,,
871eb220affffff,,
871eb3d88ffffff,,
871eb2b34ffffff,,
871eb3d24ffffff,,
871eb0628ffffff,,
871eb2ad0ffffff,,
871eb232dffffff,,
871eb000cffffff,,
871eb0193ffffff,,
871eb04a1ffffff,53.0,0.47
871eb2a6cffffff,,
871eb074bffffff,55.0,0.45
871eb39b2ffffff,,
871eb02b6ffffff,,
871eb2a08ffffff,,
871eb00cbffffff,,
871eb2265ffffff,,
871eb0a84ffffff,,
871eb22f4ffffff,,
871eb0776ffffff,,
871eb0468ffffff,,
871eb0560ffffff,50.0,0.5
871eb0683ffffff,,
871eb2b2bffffff,,
871eb2201ffffff,,
871eb2388ffffff,,
871eb07a6ffffff,,
871eb2324ffffff,,
871eb0498ffffff,,
871eb3d1bffffff,,
